countries,totalgames,total_wins,total_loses,total_x,friendly_wins,friendly_loses,friendly_x,no_friendly_wins,no_friendly_loses,no_friendly_x,totalgames_2015_2021,total_wins_2015_2021,total_loses_2015_2021,total_x_2015_2021,total_goals_scored,total_goals_scored_in,total_goals_scored_2015_2021,total_goals_scored_in_2015_2021,category
North Korea,340,144,105,91,31,35,30,113,70,61,54,22,19,13,541,379,73,83,Team_with_Fifa_Rank( 90--179)

Sudan,402,135,166,101,37,49,33,98,117,68,39,11,16,12,455,538,35,40,Team_with_Fifa_Rank( 90--179)

Malta,408,51,286,71,31,83,30,20,203,41,57,7,38,12,257,932,35,115,Team_with_Fifa_Rank( 90--179)

Tunisia,585,246,170,169,114,92,81,132,78,88,72,31,20,21,843,621,112,79,Team_with_Fifa_Rank( 1--89)

Libya,339,123,130,86,69,66,40,54,64,46,51,14,24,13,429,412,54,65,Team_with_Fifa_Rank( 90--179)

Malawi,568,200,203,165,103,94,86,97,109,79,56,17,18,21,680,715,42,48,Team_with_Fifa_Rank( 90--179)

Morocco,539,249,130,160,103,59,60,146,71,100,74,40,15,19,755,452,112,43,Team_with_Fifa_Rank( 1--89)

Benin,262,60,136,66,25,67,33,35,69,33,38,14,9,15,269,476,44,37,Team_with_Fifa_Rank( 1--89)

Cape Verde,170,61,71,38,13,12,10,48,59,28,34,14,13,7,178,199,41,37,Team_with_Fifa_Rank( 1--89)

Cameroon,538,232,137,169,63,64,73,169,73,96,74,26,16,32,739,558,75,66,Team_with_Fifa_Rank( 1--89)

Central African Republic,98,20,56,22,5,18,4,15,38,18,25,8,10,7,104,192,29,42,Team_with_Fifa_Rank( 90--179)

Mali,502,200,173,129,78,92,52,122,81,77,56,21,14,21,639,577,75,54,Team_with_Fifa_Rank( 1--89)

Gabon,362,126,131,105,49,70,57,77,61,48,51,13,20,18,419,409,47,56,Team_with_Fifa_Rank( 1--89)

Burkina Faso,392,126,157,109,61,74,56,65,83,53,63,23,18,22,453,532,69,60,Team_with_Fifa_Rank( 1--89)

Ivory Coast,569,283,142,144,115,66,61,168,76,83,77,36,18,23,911,589,99,62,Team_with_Fifa_Rank( 1--89)

Congo,378,129,151,98,49,61,39,80,90,59,47,12,18,17,476,517,53,65,Team_with_Fifa_Rank( 180--269)

Iraq,553,254,138,161,87,60,75,167,78,86,74,29,18,27,872,517,93,74,Team_with_Fifa_Rank( 1--89)

Saint Vincent and the Grenadines,148,65,44,39,12,9,10,53,35,29,23,9,9,5,249,201,29,36,Team_with_Fifa_Rank( 90--179)

Senegal,532,233,155,144,87,81,59,146,74,85,66,39,10,17,692,510,101,43,Team_with_Fifa_Rank( 1--89)

Guinea,469,171,163,135,55,71,52,116,92,83,56,18,23,15,635,580,72,80,Team_with_Fifa_Rank( 90--179)

Algeria,509,216,152,141,89,71,64,127,81,77,62,32,16,14,718,526,124,65,Team_with_Fifa_Rank( 1--89)

Kuwait,568,237,176,155,78,70,83,159,106,72,39,11,18,10,878,615,54,47,Team_with_Fifa_Rank( 90--179)

Jordan,401,141,141,119,55,71,69,86,70,50,76,30,22,24,483,435,106,66,Team_with_Fifa_Rank( 90--179)

Papua New Guinea,116,35,60,21,1,15,2,34,45,19,15,5,6,4,280,242,36,25,Team_with_Fifa_Rank( 90--179)

Solomon Islands,170,72,68,30,19,13,10,53,55,20,29,12,12,5,383,347,72,43,Team_with_Fifa_Rank( 90--179)

Liberia,247,68,122,57,22,36,24,46,86,33,29,9,15,5,220,344,27,38,Team_with_Fifa_Rank( 90--179)

Somalia,107,10,85,12,1,8,1,9,77,11,11,1,10,0,56,297,5,29,Team_with_Fifa_Rank( 180--269)

Laos,163,31,106,26,4,19,4,27,87,22,43,8,27,8,169,515,42,111,Team_with_Fifa_Rank( 90--179)

Saudi Arabia,628,301,185,142,108,90,62,193,95,80,71,34,24,13,998,667,124,84,Team_with_Fifa_Rank( 1--89)

Chad,118,25,65,28,6,14,8,19,51,20,20,4,14,2,106,206,13,37,Team_with_Fifa_Rank( 90--179)

Bermuda,154,55,73,26,20,39,14,35,34,12,26,11,13,2,262,249,49,46,Team_with_Fifa_Rank( 90--179)

Niger,209,49,107,53,20,39,32,29,68,21,37,11,17,9,193,348,34,56,Team_with_Fifa_Rank( 180--269)

Bahrain,496,168,186,142,60,58,49,108,128,93,69,28,20,21,606,628,90,63,Team_with_Fifa_Rank( 90--179)

Palestine,188,51,85,52,20,32,24,31,53,28,46,15,16,15,257,283,72,54,Team_with_Fifa_Rank( 90--179)

Yemen,226,45,138,43,14,39,13,31,99,30,39,7,23,9,215,513,22,69,Team_with_Fifa_Rank( 90--179)

Wallis Islands and Futuna,24,5,19,0,0,0,0,5,19,0,0,0,0,0,23,109,0,0,Team_with_Fifa_Rank( 180--269)

Corsica,9,4,1,4,4,1,4,0,0,0,3,1,0,2,10,5,3,2,Team_with_Fifa_Rank( 180--269)

